start,miny,maxy,center,trend,amplitude,minmaxamplitude,last_point,mina,maxa
1533234300,1533234600,1533239100,1533237600,-0.0018485774397772323,0.002487986761689226,0.0010396418621690274,1.1599622727272718,-0.0004438097507329264,0.0005958321114361009
1533234600,1533234900,1533239700,1533238200,-0.001917724921806109,0.0020339346110511275,0.0010564938416416636,1.1598848863636357,-0.000494210117301912,0.0005622837243397516
1533234900,1533235200,1533240000,1533238500,-0.0020254517756773767,0.0020685118386048335,0.001050319061583873,1.159776022727272,-0.000524435630499922,0.0005258834310839511
1533235200,1533235500,1533240600,1533239100,-0.00208539470422996,0.001305484070162762,0.0009224225806451258,1.1597082386363635,-0.00044243357771256875,0.0004799890029325571
1533236700,1533237000,1533242100,1533240900,-0.002288859639335415,0.0008674240358445501,0.0012901448680354211,1.1593443181818184,-0.0005921316715545367,0.0006980131964808844
1533236100,1533237300,1533241500,1533240600,-0.002019315437135421,0.0009415841065552503,0.000928682111436574,1.1596272159090912,-0.0003658980205277551,0.0005627840909088189
1533237300,1533239100,1533244500,1533243000,-0.002400052209869209,0.0015092830050852434,0.0013393513196484719,1.1591002840909095,-0.0005593201612907972,0.0007800311583576747
1533241500,1533241800,1533244500,1533243300,-0.0012304539244740826,0.0009731914173887232,0.0014410005865087604,1.1588860227272741,-0.0007557916422281696,0.0006852089442805909
1533241800,1533242100,1533245400,1533243900,-0.0012138062220688078,0.0015665393470636827,0.0014350718475065083,1.1588502840909096,-0.0007511312316710761,0.0006839406158354322
1533242100,1533242400,1533245400,1533243900,-0.0012230107538607007,0.0017188851240710057,0.0014383498533722338,1.1588019318181817,-0.0007469935483869428,0.0006913563049852911
1533242400,1533242700,1533246000,1533244500,-0.0012169312174531298,0.002093908223250944,0.0014361847507325099,1.1587546590909095,-0.0007356348973601979,0.000700549853372312
1533242700,1533243000,1533246900,1533245400,-0.0012414198168172242,0.0024806846811583046,0.0014449058651024593,1.1587008522727276,-0.0007361247067447518,0.0007087811583577075
1533243000,1533243300,1533247200,1533245700,-0.0012719311322672874,0.0027363947916266298,0.0014557718475073588,1.158640284090909,-0.00073532646627541,0.0007204453812319489
1533243300,1533243600,1533247500,1533246000,-0.0012338630102105828,0.0028509504068652968,0.0014422146627563848,1.1586174431818186,-0.0007276783724339086,0.0007145362903224761
1533243600,1533243900,1533248400,1533246900,-0.001193863069153276,0.0025929345599605123,0.0014279695014655668,1.158588693181819,-0.0007102917155418797,0.0007176777859236871
1533243900,1533244200,1533248700,1533247200,-0.0011531813070027157,0.002049511198137771,0.0014134815249260413,1.1585540340909095,-0.0006839085777119447,0.0007295729472140966
1533244200,1533244500,1533249000,1533247500,-0.0011048859140291205,0.002214927775923045,0.00139628211143628,1.1585313068181826,-0.0006609283724333714,0.0007353537390029086
1533244500,1533244800,1533249300,1533247800,-0.001096363197083682,0.0020531636854173143,0.0013932469208215092,1.1585011931818177,-0.000659572067449119,0.0007336748533723902
1533244800,1533245100,1533249900,1533248400,-0.0010131246533684759,0.0016292071103291316,0.001365866129032529,1.15849625,-0.0006198782258061985,0.0007459879032263306
1533245100,1533245400,1533250200,1533248700,-0.0010131246533684759,0.0012280406169006346,0.001365866129032529,1.15849625,-0.0006198782258061985,0.0007459879032263306
1533247800,1533248100,1533250500,1533249600,-0.0010131246533684759,0.0017036134090379791,0.001365866129032529,1.15849625,-0.0006198782258061985,0.0007459879032263306
1533247200,1533250200,1533253800,1533253800,-0.0010131246533684759,0.0015297250956521492,0.001365866129032529,1.15849625,-0.0006198782258061985,0.0007459879032263306
